
east:821070.0, north:807840.0, Cheung Chau, 長洲
east:815749.0, north:830198.0, Siu Kit House, 兆傑閣
east:820721.902, north:808458.572, Siu Kwai Wan, 小貴灣
east:815711.0, north:830497.0, Siu Lai House, 兆麗閣
east:819563.14659, north:825590.044469999, SIU LAM ROAD, 小欖路
east:811242.0, north:825667.0, Siu Lang Shui, 小冷水
east:839944.0, north:826956.0, Siu Lek Yuen, 小瀝源
east:815728.0, north:830462.0, Siu Lok House, 兆樂閣
east:815883.31001, north:827238.653109999, SIU LUN STREET, 兆麟街
east:839370.0, north:814660.0, Siu Ma Shan, 小馬山
east:838255.0, north:816764.0, Siu Man Court, 兆文樓
east:820846.0, north:833756.0, Siu Ming Building, 兆明樓
east:845580.0, north:844300.0, Siu Nim Chau, 小稔洲
east:815748.0, north:830554.0, Siu Ning House, 兆寧閣
east:832396.0, north:833190.0, Siu Om Shan, 小菴山
east:815834.0, north:830460.0, Siu Ping House, 兆平閣
east:811740.318, north:816028.739, Tung Chung, 東涌
east:811395.0, north:816505.0, TUNG CHUNG BATTERY, 東涌小炮台
east:810900.0, north:816300.0, Tung Chung Bay, 東涌灣
east:811463.0, north:815453.0, TUNG CHUNG FORT, 東涌炮台
east:813946.51745, north:811096.209380001, TUNG CHUNG ROAD, 東涌道
east:811986.0, north:816711.0, Tung Chung Station, 東涌站
east:810823.9, north:815688.4, TUNG CHUNG CAMP, 東涌營
east:811459.0, north:815444.0, Tung Chung Public School, 東涌公立學校
east:812529.0, north:815046.0, New Tung Chung Hang, 新東涌坑
east:811402.0, north:816029.0, TUNG CHUNG CATHOLIC SCHOOL, 東涌天主教學校
east:811789.0, north:816935.0, Tung Chung Community Garden, 東涌社區園圃
east:811899.0, north:817279.0, Tung Chung Development Pier, 東涌發展碼頭
east:812633.89755, north:816682.105900001, TUNG CHUNG EASTERN INTERCHANGE, 東涌東交匯處
east:811790.0, north:816719.0, Tung Chung Post Office, 東涌郵政局
east:811673.11498, north:816037.220760001, TUNG CHUNG ROAD NORTH, 東涌道北
east:811866.60839, north:817130.964810001, TUNG CHUNG WATERFRONT ROAD, 東涌海濱路
east:811989.0, north:816716.0, MTR Tung Chung Station, 港鐵東涌站
east:812028.0, north:816292.0, Tung Chung Ambulance Depot, 東涌救護站
east:811765.0, north:816617.0, Tung Chung Crescent Club House, 東堤灣畔住客會所
east:811695.0, north:816838.0, Tung Chung Cable Car Terminal, 東涌纜車站
east:812233.0, north:817249.0, Tung Chung Community Liaison Centre, 東涌社區聯絡中心
east:811913.0, north:816573.0, TUNG CHUNG CRESCENT PHASE 1, 東堤灣畔第1期
east:811781.0, north:816676.0, TUNG CHUNG CRESCENT PHASE 2, 東堤灣畔第2期
east:813248.0, north:817098.0, Tung Chung Electric Sub-station, 
east:811830.0, north:815570.0, Tung Chung Our Lady's Kindergarten, 東涌聖母幼稚園
east:811245.0, north:815494.0, TUNG CHUNG ROAD SOCCER PITCH, 東涌道足球場
east:811832.0, north:816601.0, TUNG CHUNG CRESCENT, 東堤灣畔
east:811971.91284, north:816687.7632, MTR Tung Chung Station-A Access, 港鐵東涌站-A進出口
east:811951.1097, north:816695.18592, MTR Tung Chung Station-B Access, 港鐵東涌站-B進出口
east:812035.565, north:816771.674, MTR Tung Chung Station-C Access, 港鐵東涌站-C進出口
east:812042.9986, north:816744.12661, MTR Tung Chung Station-D Access, 港鐵東涌站-D進出口
east:811830.0, north:815570.0, Tung Chung Our Lady of Visitation Chapel, 東涌聖母訪親小堂
east:811697.96747125, north:815809.20433557, Tung Chung Integrated Services Centre, 東涌綜合服務中心
east:811709.23129409, north:815843.16299337, Tung Chung Integrated Service Centre, 東涌綜合服務中心
east:811756.0, north:815676.0, CITYBUS LIMITED TUNG CHUNG BUS DEPOT, 城巴有限公司東涌巴士廠
east:811762.0, north:815312.0, TUNG CHUNG FRESH WATER SERVICE RESERVOIR, 東涌食水配水庫
east:811577.0, north:814119.0, TUNG CHUNG ROAD BURIAL GROUND NO.18, 東涌道１８號塋葬區
east:812673.65161188, north:816887.00616087, Tung Chung North Park (Area A2), 東涌北公園 (A2區)
east:811789.7, north:816719.0, Tung Chung Post Office iPostal Station, 東涌郵政局智郵站
east:811789.66896208, north:816719.04647217, Tung Chung Post Office iPostal Kiosk, 東涌郵政局智郵寄
east:812221.0, north:816680.0, Tung Chung Health Centre, 東涌健康中心
east:812179.0, north:816638.0, Tung Chung Health Centre, 東涌健康中心
east:812927.0, north:816959.0, TUNG CHUNG NORTH PARK, 東涌北公園
east:812297.0, north:816876.0, Tung Chung Public Library, 東涌公共圖書館
east:811754.0, north:815576.0, Tung Chung Rural Committee, 東涌鄉事委員會
east:811660.0, north:816732.0, Tung Chung Swimming Pool, 東涌游泳池
east:811796.0, north:816718.0, Islands Home Affairs Enquiry Centre (Tung Chung), 離島民政諮詢中心 (東涌)
east:812036.0, north:816283.0, Tung Chung Fire Station-Cum-Ambulance Depot, 東涌消防局暨救護站
east:811800.39576691, north:816723.97522018, Tung Chung Post Office iPostal Station 2, 東涌郵政局智郵站 2
east:812116.36029997, north:816683.01417858, Tung Chung Integrated Home Care Services Team, 東涌綜合家居照顧服務隊
east:838137.0, north:813144.0, Pier Cafe, 碧雅亭
east:835554.5, north:819579.5, 5% CAFE, 5% CAFE
east:835512.0, north:810520.0, Boardwalk Cafe, 美食舫
east:834754.0, north:815418.0, Cafe & Bar, 
east:835725.0, north:810365.0, Cafe Ocean, 海洋冰室
east:833974.7, north:816093.4, CECILIA CAFE, CECILIA CAFE
east:835540.5, north:819574.7, COMMA CAFE, 逗號咖啡室
east:835553.9, north:819579.5, DOUBLE CAFE, 孖啡
east:835614.7, north:819548.2, L CAFE', L CAFE'
east:840983.0, north:829986.0, MOS Cafe, 鞍山茶座
east:836213.0, north:811821.0, Panda Cafe, 大熊貓餐廳
east:835660.1, north:817551.2, PEACE CAFE, PEACE CAFE
east:835614.9, north:819550.0, URBAN CAFE, URBAN CAFE
east:836953.9, north:815520.2, Y.M. CAFE, Y.M. CAFE
east:835524.4, north:820301.7, H & B CAFE, H & B CAFE
east:835653.72756869, north:819621.12283279, LIVE CAFE RHYTHM, LIVE CAFE RHYTHM
east:837347.1, north:818963.0, M8 CAFE & PUB, M8 CAFE & PUB
east:835738.0, north:819930.3, STATION 3 CAFE, 第三站
east:835554.6, north:819580.1, WONDER GARDEN CAFE, WONDER GARDEN CAFE
east:838414.0, north:828740.0, Cafe de Coral Centre, 大家樂中心
east:833736.23305445, north:822268.65068359, Holy Cafe Training Centre, 喜樂餐飲教室
east:837138.0, north:835424.0, Cafe de Coral Central Processing Plant 1, 大家樂中央產製1廠
east:837129.0, north:835517.0, Cafe de Coral Central Processing Plant 2, 大家樂中央產製2廠
east:833439.0, north:814683.0, Peak Cafe (Previous Name), 山頂餐廳 (前稱)
east:838967.8, north:832591.7, Wi-Fi.HK Hotspot Locations: 759 cafe (ID0001), Wi-Fi.HK 熱點位置: 759咖啡店 (ID0001)
east:838967.8, north:832592.8, Wi-Fi.HK Hotspot Locations: 759 cafe (ID0002), Wi-Fi.HK 熱點位置: 759咖啡店 (ID0002)
east:842401.0, north:819802.7, Wi-Fi.HK Hotspot Locations: Cafe De Coral - Po Tat, Wi-Fi.HK 熱點位置: 大家樂-秀茂寶達
east:841937.2, north:820100.4, Wi-Fi.HK Hotspot Locations: Cafe De Coral - Sau Mau Ping, Wi-Fi.HK 熱點位置: 大家樂-秀茂坪
east:836594.3, north:818356.1, Registered WiFi Access Points: Y5ZONE Limited (APID 08392), 已登記的WiFi 熱點: Y5ZONE Limited (APID 08392)
east:839811.7, north:816393.8, Registered WiFi Access Points: Hong Kong Telecommunications (HKT) Limited (APID 06194), 已登記的WiFi 熱點: Hong Kong Telecommunications (HKT) Limited (APID 06194)
east:829197.3, north:824460.7, Registered WiFi Access Points: Hong Kong Telecommunications (HKT) Limited (APID 04728), 已登記的WiFi 熱點: Hong Kong Telecommunications (HKT) Limited (APID 04728)
east:819629.8, north:818535.8, Wi-Fi.HK Hotspot Locations: Discovery Bay Club Siena, Wi-Fi.HK 熱點位置: 愉景灣海澄湖畔會所
east:838192.78065398, north:821675.92493548, Registered WiFi Access Points: PCCW-HKT Telephone Limited (APID 07479), 已登記的WiFi 熱點: 香港電話有限公司 (APID 07479)
east:834312.9, north:815741.5, Registered WiFi Access Points: Hong Kong Telecommunications (HKT) Limited (APID 05142), 已登記的WiFi 熱點: Hong Kong Telecommunications (HKT) Limited (APID 05142)
east:834600.7, north:820298.7, Registered WiFi Access Points: Y5ZONE Limited (APID 08181), 已登記的WiFi 熱點: Y5ZONE Limited (APID 08181)
east:836593.26484253, north:818441.58230958, Registered WiFi Access Points: Y5ZONE Limited (APID 08396), 已登記的WiFi 熱點: Y5ZONE Limited (APID 08396)
east:835473.8, north:817465.1, Registered WiFi Access Points: PCCW-HKT Telephone Limited (APID 07687), 已登記的WiFi 熱點: 香港電話有限公司 (APID 07687)
east:834840.0, north:815757.0, Registered WiFi Access Points: Hong Kong Telecommunications (HKT) Limited (APID 05250), 已登記的WiFi 熱點: Hong Kong Telecommunications (HKT) Limited (APID 05250)
east:838990.3, north:832583.9, Registered WiFi Access Points: Hong Kong Telecommunications (HKT) Limited (APID 06694), 已登記的WiFi 熱點: Hong Kong Telecommunications (HKT) Limited (APID 06694)
east:837686.8, north:820437.4, Registered WiFi Access Points: HGC Global Communications Limited (APID 01177), 已登記的WiFi 熱點: 環球全域電訊有限公司 (APID 01177)
east:839526.0, north:816962.0, Registered WiFi Access Points: HGC Global Communications Limited (APID 01363), 已登記的WiFi 熱點: 環球全域電訊有限公司 (APID 01363)
east:834152.0, north:822126.0, Registered WiFi Access Points: Hong Kong Telecommunications (HKT) Limited (APID 05111), 已登記的WiFi 熱點: Hong Kong Telecommunications (HKT) Limited (APID 05111)
east:836881.4, north:821891.7, Registered WiFi Access Points: Y5ZONE Limited (APID 08425), 已登記的WiFi 熱點: Y5ZONE Limited (APID 08425)
east:836087.1, north:818091.8, JOLLY RESTAURANT, 壹食就醉
east:832099.1071713, north:825128.17185501, MacLehose Restaurant, 麥理浩餐廳
east:832481.0, north:816253.0, Tsui Wah Building, 翠樺樓
east:821149.0, north:834078.0, Tsui Wah House, 翠華樓
east:840957.44215241, north:819405.84510859, Hong Lin Restaurant, 康年餐廳
east:836680.0, north:815409.1, MAMADAY RESTAURANT & BAR, 嘛嘛地
east:835843.34361964, north:815439.86864013, Our City Love Restaurants, 友善香港好餐廳
east:835462.3, north:819727.8, UPPER BAR AND RESTAURANT, UPPER BAR AND RESTAURANT
east:831895.0, north:812595.0, Tung Wah Group of Hospitals Tsui Tsin Tong School, 東華三院徐展堂學校
east:835728.0, north:819604.0, TWGHs Tsui Tsin Tong Outpatient Building, 東華三院徐展堂門診大樓
east:824692.0, north:823677.0, Cheung Tsui, 長咀
east:848070.0, north:841030.0, Cheung Tsui, 長咀
east:847903.0, north:825230.0, Kiu Tsui, 橋咀
east:830680.0, north:810940.0, Nam Tsui, 南咀
east:813620.0, north:810417.0, Sha Tsui, 沙咀
east:845423.0, north:824482.0, Sha Tsui, 沙咀
east:840870.0, north:845486.0, Shan Tsui, 山咀
east:810029.0, north:830910.0, Tsang Tsui, 曾咀
east:843840.0, north:820120.0, TSUI LAM, 翠林
east:815980.0, north:808660.0, Tsui Pai, 咀排
east:859305.0, north:832955.0, Tuen Tsui, 短咀
east:846335.0, north:836560.0, To Tau Tsui, 刀頭咀
east:841716.0, north:819641.0, Tsui To House, 翠桃樓
east:863125.0, north:844725.0, A Ma Tsui, 亞媽咀
east:843070.0, north:845410.0, Ah Kung Tsui, 亞公咀
east:846696.0, north:841540.0, Au Yue Tsui, 拗魚咀
east:831361.0, north:824110.0, Bik Tsui House, 碧翠樓
east:843510.0, north:813838.0, Bik Tsui House, 碧翠閣
east:848331.0, north:846072.0, Cheung Shek Tsui, 長石咀
east:844900.0, north:845100.0, Cheung Shek Tsui, 長石咀
east:820350.0, north:821900.0, Cheung Sok Tsui, 長索咀
east:859870.0, north:830430.0, Cheung Tsui Chau, 長咀洲
east:846250.0, north:843280.0, Chung Wan Tsui, 涌灣咀
east:842045.142, north:813727.776319999, FEI TSUI ROAD, 翡翠道
east:842735.08327, north:813744.75216, FU TSUI STREET, 富翠街
east:820100.0, north:821580.0, Ha Kok Tsui, 下角咀
east:829900.0, north:805430.0, Ha Mei Tsui, 下尾咀
east:819980.0, north:818110.0, Hai Kam Tsui, 蟹鉗咀
east:842929.0, north:814272.0, HANG TSUI COURT, 杏翠苑
east:843893.0, north:813689.0, Hin Tsui House, 顯翠閣
east:843470.53529, north:813779.074270001, HIU TSUI STREET, 曉翠街
east:843432.0, north:807846.0, HOK TSUI VILLAGE, 鶴咀村
east:844790.0, north:807650.0, Hok Tsui Wan, 鶴咀灣
east:851080.0, north:843960.0, Hok Wan Tsui, 鶴環咀
east:854880.0, north:839660.0, Hung Ying Tsui, 紅鷹咀
east:843900.0, north:813679.0, Kai Tsui Court, 佳翠苑
east:848650.0, north:840310.0, Kang Mun Tsui, 乾門咀
east:843356.0, north:845428.0, Kei Shan Tsui, 企山咀
east:841794.0, north:813471.0, King Tsui Court, 景翠苑
east:847784.0, north:825495.0, KIU TSUI BEACH, 橋咀海灘
east:832753.0, north:820679.0, Fire Services Department Diving Base, 消防處潛水基地
east:851056.0, north:829910.0, CNBF Life Training Base, 生命培訓基地
east:842795.0, north:837760.0, Bride's Pool Road Barbecue Area Site No.1, 新娘潭路燒烤區１號場
east:842861.0, north:837898.0, Bride's Pool Road Barbecue Area Site No.4, 新娘潭路燒烤區４號場
east:843151.0, north:838441.0, Bride's Pool Road Barbecue Area Site No.6, 新娘潭路燒烤區６號場
east:843121.0, north:838690.0, Bride's Pool Road Barbecue Area Site No.7, 新娘潭路燒烤區７號場
east:843060.0, north:838653.0, Bride's Pool Road Barbecue Area Site No.9, 新娘潭路燒烤區９號場
east:825658.0, north:828582.0, Toilet (Twisk Picnic Site; Tin Fu Tsai North Mountain Bike Trail), 廁所(荃錦郊遊場地；田夫仔北越野單車徑)
east:835338.8144, north:820318.17907, BUTE STREET, 弼街
east:843148.345525, north:838442.94045, Toilet (Bride's Pool Road Barbecue Site No. 6, Chung Pui), 廁所 (涌背 新娘潭路燒烤場地6號)
east:834347.0, north:830309.0, Toilet (Shing Mun Picnic Site No. 10, Lead Mine Pass), 廁所 (鉛鑛坳 城門郊遊場地10號)
east:835641.0, north:820393.0, Bute Street Buidling, 弼街樓
east:840070.0, north:815284.0, Kornhill Barbecue Site, 康山燒烤地點
east:842156.0, north:840695.0, Toilet (Bride's Pool Road Barbecue Site No. 19, Sam Tam Lo), 廁所 (三担籮 新娘潭路燒烤場地19號)
east:835637.0, north:820391.0, BUTE STREET BUILDING, 弼街樓
east:835239.0, north:820311.0, Bute Wah Mansion, 弼華大廈
east:845466.0, north:819402.0, La Cite Noble Block 1, 新寶城第1座
east:845493.0, north:819428.0, La Cite Noble Block 2, 新寶城第2座
east:845516.0, north:819457.0, La Cite Noble Block 3, 新寶城第3座
east:845478.0, north:819495.0, La Cite Noble Block 4, 新寶城第4座
east:845453.0, north:819468.0, La Cite Noble Block 5, 新寶城第5座
east:845429.0, north:819434.0, La Cite Noble Block 6, 新寶城第6座
east:842199.0, north:841124.0, Toilet (Bride's Pool Road Barbecue Site No. 26; Junction of Wu Kau Tang Road and Bride's Pool Road), 廁所 (新娘潭路燒烤場地26號；烏蛟騰路及新娘潭路交界)
east:842878.0, north:839411.0, Chung Mei Barbecue Site, 涌尾燒烤場
east:843060.0, north:838653.0, Chung Pui Barbecue Site, 涌背燒烤場
east:844667.0, north:832221.0, NAI CHUNG BARBECUE SITE, 泥涌燒烤場
east:829030.0, north:829424.0, Rotary Park Barbecue Site, 扶輪公園燒烤場
east:856313.0, north:829178.0, Sai Wan Stargazing Site, 西灣觀星地點
east:842611.0, north:810988.0, Tung Au Barbecue Site, 東丫燒烤地點
east:817029.0, north:808490.0, Yi Long Archaeological Site, 二浪考古遺址
east:815460.0, north:828719.0, Bit Hing Building, 必興樓
east:835184.8583266, north:841319.17925274, YIU HING AUTO REPAIR, 友興車房
east:844667.605025, north:832280.0, Toilet (Nai Chung Barbecue Site), 廁所 (泥涌燒烤場地)
east:829004.0, north:828443.0, CHUEN LUNG BBQ SITE NO.1, 川龍燒烤區１號場
east:852659.0, north:831546.0, NGAU WU TUN CAMP SITE, 牛湖墩營地
east:846577.0, north:829491.0, SHUI LONG WO BBQ SITE, 水浪窩燒烤地點
east:841966.0, north:836566.0, Tai Mei Tuk Barbecue Site, 大美督燒烤場
east:824865.0, north:827870.0, Tin Fu Tsai Camp Site, 田夫仔露營場
east:828843.0, north:829489.0, Twisk Barbecue Area Site No.1, 荃錦燒烤區場地１
east:828881.0, north:829643.0, Twisk Barbecue Area Site No.2, 荃錦燒烤區場地２
east:812945.0, north:814829.0, Wong Lung Hang Picnic Site, 黃龍坑郊遊場地
east:836066.3, north:817735.6, DASH LIVING ON PRAT, DASH LIVING ON PRAT
east:844671.8424534, north:832269.65064939, Nai Chung BBQ Site Water Filling Station, 泥涌燒烤場地加水站
east:838949.84769651, north:813384.18026903, Tai Tam BBQ Site Water Filling Station, 大潭燒烤場地加水站
east:836705.2874, north:824976.0, Toilet (Hung Mui Kuk Barbecue Site), 廁所 (紅梅谷燒烤場地)
east:842516.0, north:829893.0, Toilet (Ma On Shan Barbecue Site), 廁所 (馬鞍山燒烤場地)
east:851060.0, north:828676.0, Toilet (Pak Tam Chung P.H.A.B. Site), 廁所 (北潭涌傷健樂園)
east:848954.0, north:816840.0, Toilet (Tai Hang Tun Barbecue Site), 廁所 (大坑墩燒烤場地)
east:848480.0, north:813017.0, Toilet (Tung Lung Fort Camp Site), 廁所 (東龍洲炮台營地)
east:841356.324325, north:842332.190725, Toilet (Ham Hang Mei Barbecue Site, Bride's Pool Road; Fung Hang Family Walk Finishing Point), 廁所 (新娘潭路 鹹坑尾燒烤場地；鳳坑家樂徑終點)
east:807115.0, north:818858.0, Localizer Building, 著陸航向信標台室
east:811281.0, north:820293.0, Localizer Equipment Room, 
east:836087.1, north:818091.8, JOLLY RESTAURANT, 壹食就醉
east:832099.1071713, north:825128.17185501, MacLehose Restaurant, 麥理浩餐廳
east:836016.50487091, north:815013.70180361, "Local Ginger" Veggie Bistro, 「本地薑」素食店
east:840957.44215241, north:819405.84510859, Hong Lin Restaurant, 康年餐廳
east:836680.0, north:815409.1, MAMADAY RESTAURANT & BAR, 嘛嘛地
east:835843.34361964, north:815439.86864013, Our City Love Restaurants, 友善香港好餐廳
east:835462.3, north:819727.8, UPPER BAR AND RESTAURANT, UPPER BAR AND RESTAURANT
east:814219.0, north:827028.0, Tuen Mun Recreation and Sports Centre General Restaurant and Pro Shop, 屯門康樂體育中心餐廳及體育用品專門店
east:838962.0, north:827898.0, STAR SEAFOOD FLOATING RESTAURANT, 明星海鮮舫
east:834754.0, north:815418.0, Park Inn Restaurant & Bar (Previous Name), 湖心餐廳 (前稱)
east:838250.0, north:828511.0, Tao Heung Training Restaurant (Other Name), 稻香訓練酒樓 (別稱)
east:842233.0, north:815517.0, Lei Yue Mun Park Restaurant (Other Name), 鯉魚門公園餐廳 (別稱)
east:839585.0, north:821557.0, Hong Kong Federation of Youth Groups Jockey Club Ping Shek Youth S.P.O.T., 香港青年協會賽馬會坪石青年空間
east:831037.9, north:823340.3, Wi-Fi.HK Hotspot Locations: Carnival Restaurant (Kwai Chung), Wi-Fi.HK 熱點位置: 嘉年華海鮮酒家-賢麗苑商場
east:836127.8, north:812018.3, Wi-Fi.HK Hotspot Locations: Neptune Restaurant, Ocean Park, Wi-Fi.HK 熱點位置: 海洋公園 - 海龍王餐廳
east:836127.8, north:812018.3, Wi-Fi.HK Hotspot Locations: Tuxedos Restaurant, Ocean Park, Wi-Fi.HK 熱點位置: 海洋公園 - 冰極餐廳
east:832540.1, north:816578.4, Wi-Fi.HK Hotspot Locations: Star Seafood Restaurant - Western District, Wi-Fi.HK 熱點位置: 明星海鮮酒家-西環
east:842105.0, north:813842.0, Wellcome Supermarket-Hing Wah, 惠康超級市場-興華
east:836127.8, north:812018.3, Wi-Fi.HK Hotspot Locations: The Bayview Restaurant, Ocean Park, Wi-Fi.HK 熱點位置: 海洋公園 - 灣景餐廳
east:835868.9, north:821992.9, Wi-Fi.HK Hotspot Locations: City Express, City Chinese Restaurant, and City Top, Wi-Fi.HK 熱點位置: 城大食坊,城大中菜廳,城峰閣
east:815535.0, north:827670.0, Wellcome Supermarket-On Ting, 惠康超級市場-安定
east:834675.0, north:834518.0, Street Posting Box No. 446, 編號446郵箱
east:845956.7, north:826995.1, Registered WiFi Access Points: Hong Kong Telecommunications (HKT) Limited (APID 06569), 已登記的WiFi 熱點: Hong Kong Telecommunications (HKT) Limited (APID 06569)
east:814887.0, north:829864.1, Street Posting Box No. 700, 編號700郵箱
east:839576.5, north:821559.6, Recycling Organisations and Collection Points: The Hong Kong Federation of Youth Groups – Jockey Club Ping Shek Youth S.P.O.T, 回收機構及收集點： 香港青年協會 - 賽馬會坪石青年空間
east:820493.9, north:817138.6, Wi-Fi.HK Hotspot Locations: Discovery Bay Club, Wi-Fi.HK 熱點位置: 愉景灣尊貴會所
east:845199.0, north:822013.0, Recycling Organisations and Collection Points: McDonald's, 回收機構及收集點： 麥當勞
east:834453.0, north:815816.9, Registered WiFi Access Points: Hong Kong Telecommunications (HKT) Limited (APID 05160), 已登記的WiFi 熱點: Hong Kong Telecommunications (HKT) Limited (APID 05160)
east:820514.5, north:817147.4, Wi-Fi.HK Hotspot Locations: Discovery Bay Club, Wi-Fi.HK 熱點位置: 愉景灣尊貴會所
east:824406.0, north:825436.0, Recycling Organisations and Collection Points: McDonald's, 回收機構及收集點： 麥當勞
east:831124.0, north:824294.6, Registered WiFi Access Points: Hong Kong Broadband Network Limited (APID 02595), 已登記的WiFi 熱點: 香港寬頻網絡有限公司 (APID 02595)
east:837198.2, north:815640.1, Wi-Fi.HK Hotspot Locations: PCCW Phone Booth, Wi-Fi.HK 熱點位置: 電訊盈科電話亭
east:828720.5, north:823921.5, Wi-Fi.HK Hotspot Locations: PCCW Phone Booth, Wi-Fi.HK 熱點位置: 電訊盈科電話亭
east:828704.56362584, north:823894.2785386, Registered WiFi Access Points: PCCW-HKT Telephone Limited (APID 06946), 已登記的WiFi 熱點: 香港電話有限公司 (APID 06946)
east:831039.43915024, north:823338.76907959, Registered WiFi Access Points: Hong Kong Broadband Network Limited (APID 02572), 已登記的WiFi 熱點: 香港寬頻網絡有限公司 (APID 02572)
east:831352.3, north:840337.1, Wi-Fi.HK Hotspot Locations: PCCW Phone Booth, Wi-Fi.HK 熱點位置: 電訊盈科電話亭
east:831106.12635638, north:840504.479983, Registered WiFi Access Points: PCCW-HKT Telephone Limited (APID 07021), 已登記的WiFi 熱點: 香港電話有限公司 (APID 07021)
east:846019.2835844, north:827037.6758218, Registered WiFi Access Points: PCCW-HKT Telephone Limited (APID 07676), 已登記的WiFi 熱點: 香港電話有限公司 (APID 07676)
east:833439.0, north:814683.0, Registered WiFi Access Points: HGC Global Communications Limited (APID 00573), 已登記的WiFi 熱點: 環球全域電訊有限公司 (APID 00573)
east:836927.0, north:818049.0, Registered WiFi Access Points: HGC Global Communications Limited (APID 01120), 已登記的WiFi 熱點: 環球全域電訊有限公司 (APID 01120)
east:830046.91000643, north:825872.77917023, Registered WiFi Access Points: PCCW-HKT Telephone Limited (APID 06991), 已登記的WiFi 熱點: 香港電話有限公司 (APID 06991)
east:834656.51626436, north:834522.62385159, Registered WiFi Access Points: PCCW-HKT Telephone Limited (APID 07151), 已登記的WiFi 熱點: 香港電話有限公司 (APID 07151)
east:837198.97863632, north:815642.19020952, Registered WiFi Access Points: PCCW-HKT Telephone Limited (APID 07383), 已登記的WiFi 熱點: 香港電話有限公司 (APID 07383)
east:837737.5, north:816238.5, Registered WiFi Access Points: Hong Kong Broadband Network Limited (APID 03602), 已登記的WiFi 熱點: 香港寬頻網絡有限公司 (APID 03602)
east:838204.9, north:816787.0, Registered WiFi Access Points: Hong Kong Broadband Network Limited (APID 03696), 已登記的WiFi 熱點: 香港寬頻網絡有限公司 (APID 03696)
east:839585.8998133, north:821592.08434677, Wi-Fi.HK Hotspot Locations: ISSHK - Programme for Portable Comprehensive Social Security Assistance and Programme for Old Age Allowance Recipients under the “Fujian Scheme”, Wi-Fi.HK 熱點位置: 香港國際社會服務社 協助「綜援長者廣東及福建省養老計劃」 及 協助「福建計劃」高齡津貼受惠長者服務
east:835416.3, north:834816.1, Wi-Fi.HK Hotspot Locations: PCCW Phone Booth, Wi-Fi.HK 熱點位置: 電訊盈科電話亭
east:836585.3, north:818453.6, Registered WiFi Access Points: Y5ZONE Limited (APID 08390), 已登記的WiFi 熱點: Y5ZONE Limited (APID 08390)
east:834983.4, north:815374.3, 港島香格里拉, ISLAND SHANGRI-LA, HONG KONG
east:826324.0, north:825738.0, La Casetta, 綠庭園
east:820064.0, north:817351.0, LA COSTA, 海堤居
east:836709.0, north:821539.0, La Noblesse, 豪福軒
east:836491.0, north:821381.0, La Villa, 龍濤花園
east:819923.0, north:817230.0, LA VISTA, 海寧居
east:836761.0, north:821329.0, La Maison De La Salle, 喇沙滙
east:836800.0, north:821448.0, La Villa De La Salle, 
east:847411.0, north:828591.0, 1 La Caleta, 盈峰灣1號
east:847404.0, north:828615.0, 10 La Caleta, 盈峰灣10號
east:847409.0, north:828615.0, 11 La Caleta, 盈峰灣11號
east:847416.0, north:828653.0, 16 La Caleta, 盈峰灣16號
east:847417.0, north:828670.0, 17 La Caleta, 盈峰灣17號
east:847417.0, north:828684.0, 18 La Caleta, 盈峰灣18號
east:847435.0, north:828636.0, 19 La CaLeta, 盈峰灣19號
east:847402.0, north:828590.0, 2 La Caleta, 盈峰灣2號
east:847443.0, north:828635.0, 20 La Caleta, 盈峰灣20號
east:847448.0, north:828635.0, 21 La Caleta, 盈峰灣21號
east:847456.0, north:828636.0, 22 La Caleta, 盈峰灣22號
east:847434.0, north:828651.0, 23 La Caleta, 盈峰灣23號
east:847433.0, north:828667.0, 26 La Caleta, 盈峰灣26號
east:847441.0, north:828666.0, 27 La Caleta, 盈峰灣27號
east:847433.0, north:828681.0, 28 La Caleta, 盈峰灣28號
east:847441.0, north:828681.0, 29 La Caleta, 盈峰灣29號
east:847396.0, north:828590.0, 3 La Caleta, 盈峰灣3號
east:847479.0, north:828648.0, 32 La Caleta, 盈峰灣32號
east:847472.0, north:828648.0, 33 La Caleta, 盈峰灣33號
east:847464.0, north:828667.0, 36 La Caleta, 盈峰灣36號
east:847471.0, north:828667.0, 37 La Caleta, 盈峰灣37號
east:847483.0, north:828681.0, 38 La Caleta, 盈峰灣38號
east:847475.0, north:828682.0, 39 La Caleta, 盈峰灣39號
east:847389.0, north:828589.0, 6 La Caleta, 盈峰灣6號
east:847492.0, north:828704.0, 61 La Caleta, 盈峰灣61號
east:847499.0, north:828717.0, 62 La Caleta, 盈峰灣62號
east:847472.0, north:828713.0, 66 La Caleta, 盈峰灣66號
east:847462.0, north:828716.0, 67 La Caleta, 盈峰灣67號
east:847439.0, north:828736.0, 68 La Caleta, 盈峰灣68號
east:847456.0, north:828748.0, 69 La Caleta, 盈峰灣69號
east:847382.0, north:828589.0, 7 La Caleta, 盈峰灣7號
east:847450.0, north:828748.0, 70 La Caleta, 盈峰灣70號
east:847389.0, north:828614.0, 8 La Caleta, 盈峰灣8號
east:847395.0, north:828614.0, 9 La Caleta, 盈峰灣9號
east:824684.0, north:837876.0, LA GRANDE VINEYARD, 葡萄薈
east:837010.0, north:813825.0, La Rue Building, 港安大廈
east:836766.21875, north:821445.524350001, LA SALLE ROAD, 喇沙利道
